Date,Open,High,Low,Close,Volume,Ticker,MA20,MA50,MA200,BB_mid,BB_upper,BB_lower,Daily_Return,Cumulative_Return,RSI,MACD,Signal,MACD_Hist,ATR,OBV
2022-01-03,184.98,185.25,183.26,185.14,73894246.0,AMZN,,,,,,,,,,0.0,0.0,0.0,,0.0
2022-01-04,186.0,186.55,185.77,186.24,58586789.0,AMZN,,,,,,,0.005941449713730229,0.005941449713730229,,0.08774928774926138,0.017549857549852277,0.07019943019940911,,58586789.0
2022-01-05,184.59,184.82,184.4,184.66,112626090.0,AMZN,,,,,,,-0.008483676975945098,-0.002592632602354983,,0.029458851794998964,0.019931656398881614,0.00952719539611735,,-54039301.0
2022-01-06,183.17,184.42,182.22,183.87,111368754.0,AMZN,,,,,,,-0.0042781327845770045,-0.006859673760397533,,-0.07956594961410701,3.213519628388756e-05,-0.0795980848103909,,-165408055.0
2022-01-07,178.93,179.09,178.71,178.76,29203808.0,AMZN,,,,,,,-0.027791374340566777,-0.03446040833963493,,-0.5717128344832076,-0.11431685873961442,-0.45739597574359325,,-194611863.0
2022-01-10,168.56,168.66,168.53,168.58,68977461.0,AMZN,,,,,,,-0.05694786305661215,-0.08944582478124663,,-1.7628625267939526,-0.44402599235048207,-1.3188365344434705,,-263589324.0
2022-01-11,169.12,169.74,168.99,169.69,33894215.0,AMZN,,,,,,,0.006584410962154452,-0.0834503618883008,,-2.587462855222043,-0.8727133649247942,-1.7147494902972487,,-229695109.0
2022-01-12,166.81,167.12,166.0,166.46,88790275.0,AMZN,,,,,,,-0.019034710354175255,-0.10089661877498113,,-3.4616943050706084,-1.390509552953957,-2.0711847521166513,,-318485384.0
2022-01-13,167.81,168.07,167.12,167.94,21290667.0,AMZN,,,,,,,0.008891024870839814,-0.09290266825105331,,-3.9891212893671195,-1.9102319002365897,-2.07888938913053,,-297194717.0
2022-01-14,171.3,171.64,170.64,171.43,45865061.0,AMZN,,,,,,,0.020781231392163813,-0.0740520687047641,,-4.078482929036824,-2.3438821059966366,-1.734600823040187,,-251329656.0
2022-01-17,172.5,173.55,170.71,171.4,51676161.0,AMZN,,,,,,,-0.0001749985416787947,-0.07421410824241126,,-4.104410334145143,-2.6959877516263377,-1.4084225825188055,,-303005817.0
2022-01-18,172.42,172.53,172.25,172.42,89703469.0,AMZN,,,,,,,0.005950991831971786,-0.0687047639624071,,-3.9965823998665257,-2.9561066812743757,-1.04047571859215,,-213302348.0
2022-01-19,167.38,167.45,166.12,166.86,63109904.0,AMZN,,,,,,,-0.03224683911379178,-0.0987360916063521,,-4.310089489535841,-3.226903242926669,-1.0831862466091717,,-276412252.0
2022-01-20,169.7,170.25,168.92,169.84,96537211.0,AMZN,,,,,,,0.017859283231451473,-0.08264016420006504,,-4.2688760755783335,-3.435297809457002,-0.8335782661213313,3.349285714285711,-179875041.0
2022-01-21,163.35,163.59,163.1,163.33,78201671.0,AMZN,,,,,,,-0.03833019312293917,-0.11780274386950429,25.311297260584098,-4.707254442699053,-3.6896891361054127,-1.0175653065936405,3.6885714285714255,-258076712.0
2022-01-24,162.41,163.4,161.3,161.59,28276738.0,AMZN,,,,,,,-0.010653278638339647,-0.1272010370530412,22.49497879937509,-5.135872770868275,-3.9789258630579853,-1.1569469078102896,3.7378571428571377,-286353450.0
2022-01-25,158.51,158.67,157.82,158.03,70587116.0,AMZN,,,,,,,-0.022031066278853872,-0.14642972885384054,21.543064757426748,-5.697144990706079,-4.322569688587604,-1.3745753021184743,3.875714285714281,-356940566.0
2022-01-26,157.76,158.53,157.62,158.15,64654154.0,AMZN,,,,,,,0.0007593494906030784,-0.14578157070325182,22.11621856027749,-6.06239080407525,-4.670533911685133,-1.3918568923901162,3.7664285714285666,-292286412.0
2022-01-27,157.72,157.8,157.72,157.76,107452529.0,AMZN,,,,,,,-0.00246601327853313,-0.14788808469266534,24.637681159420254,-6.310576090286673,-4.998542347405442,-1.3120337428812316,3.4285714285714244,-399738941.0
2022-01-28,152.88,154.28,152.4,152.42,99105331.0,AMZN,169.7285,,,169.7285,189.58027523547952,149.87672476452047,-0.03384888438133882,-0.17673112239386446,27.8993435448577,-6.859090760790934,-5.370652030082541,-1.4884387307083937,3.0807142857142815,-498844272.0
2022-01-31,148.92,151.26,148.23,150.42,113844248.0,AMZN,167.9925,,,167.9925,188.23820948698952,147.7467905130105,-0.013121637580369994,-0.18753375823701013,24.272363150867776,-7.370216605080117,-5.770564945082056,-1.5996516599980604,3.2971428571428527,-612688520.0
2022-02-01,145.87,145.89,145.8,145.84,24518262.0,AMZN,165.9725,,,165.9725,186.61035777846644,145.33464222153356,-0.030448078712936977,-0.21227179431781373,23.427835051546353,-8.052036379322885,-6.226859231930222,-1.8251771473926635,3.3635714285714227,-637206782.0
2022-02-02,143.92,143.95,143.85,143.85,118729431.0,AMZN,163.932,,,163.932,184.8581112136563,143.0058887863437,-0.013645090510148172,-0.2230204169817438,19.358941745102996,-8.65321100154361,-6.7121295858528995,-1.9410814156907108,3.3907142857142816,-755936213.0
2022-02-03,144.98,145.14,144.8,144.93,45178000.0,AMZN,161.985,,,161.985,182.33856479833437,141.63143520166565,0.007507820646506902,-0.217186993626445,14.092140921409182,-8.939450822354218,-7.157593833153163,-1.7818569892010547,3.218571428571425,-710758213.0
2022-02-04,140.55,141.26,140.03,140.05,94802315.0,AMZN,160.0495,,,160.0495,181.03867763740953,139.06032236259045,-0.03367142758573105,-0.24354542508372057,12.455089820359262,-9.451126456067897,-7.61630035773611,-1.8348260983317868,3.365714285714282,-805560528.0
2022-02-07,144.97,145.28,144.65,145.22,62951618.0,AMZN,158.88150000000002,,,158.88150000000002,180.46342057694287,137.29957942305717,0.03691538736165656,-0.21562061142918887,20.370370370370367,-9.331885126857003,-7.959417311560289,-1.372467815296714,3.6585714285714244,-742608910.0
2022-02-08,143.89,144.07,143.25,143.66,113363001.0,AMZN,157.57999999999998,,,157.57999999999998,179.55340018725977,135.6065998127402,-0.010742321994215653,-0.22404666738684254,22.315035799522647,-9.256560608223339,-8.2188459708929,-1.0377146373304384,3.349285714285711,-855971911.0
2022-02-09,145.82,145.83,145.77,145.81,110703928.0,AMZN,156.54749999999999,,,156.54749999999999,178.70388852862922,134.39111147137075,0.014965891688709432,-0.21243383385546089,20.745069393718055,-8.920547830282743,-8.359186342770869,-0.5613614875118742,3.262142857142856,-745267983.0
2022-02-10,152.43,153.26,152.18,153.05,99639054.0,AMZN,155.803,,,155.803,177.33955018066274,134.26644981933725,0.04965365887113382,-0.17332829210327327,37.70334928229666,-7.978081433545441,-8.282965360925783,0.30488392738034165,3.3128571428571405,-645628929.0
2022-02-11,146.92,147.74,146.02,147.51,108574652.0,AMZN,154.607,,,154.607,175.1220605525228,134.0919394474772,-0.036197321136883454,-0.20325159338878696,34.56140350877193,-7.590700849964435,-8.144512458733512,0.5538116087690774,3.6649999999999983,-754203581.0
2022-02-14,146.0,146.07,145.91,146.0,40746691.0,AMZN,153.337,,,153.337,172.58025839571363,134.09374160428635,-0.010236594129211518,-0.21140758345036192,36.1882893226177,-7.321149670805909,-7.979839901147992,0.6586902303420832,3.509999999999997,-794950272.0
2022-02-15,145.08,145.2,144.97,145.06,112977131.0,AMZN,151.969,,,151.969,169.29472519937343,134.64327480062656,-0.006438356164383596,-0.21648482229664046,35.249042145593876,-7.101516699433233,-7.8041752608050405,0.7026585613718073,3.518571428571426,-907927403.0
2022-02-16,140.88,142.63,140.75,142.12,47522569.0,AMZN,150.73200000000003,,,150.73200000000003,167.08672646957845,134.3772735304216,-0.020267475527367962,-0.23236469698606466,33.33333333333336,-7.083040534404091,-7.659948315524851,0.5769077811207595,3.7957142857142827,-955449972.0
2022-02-17,145.81,145.82,145.49,145.62,41784568.0,AMZN,149.52100000000002,,,149.52100000000002,163.3027772897094,135.73922271029062,0.024627075710667024,-0.21346008426055962,42.45785270629993,-6.708644216681506,-7.469687495756182,0.7610432790746762,3.6771428571428544,-913665404.0
2022-02-18,146.39,146.88,144.64,145.04,48146604.0,AMZN,148.6065,,,148.6065,160.87427769091352,136.3387223090865,-0.003982969372338996,-0.2165928486550719,43.838754008245544,-6.385129788646083,-7.252775954334163,0.8676461656880807,3.537857142857141,-961812008.0
2022-02-21,149.05,149.22,149.01,149.15,69119839.0,AMZN,147.9845,,,147.9845,158.6354569127795,137.3335430872205,0.028337010479867697,-0.19439343199740733,53.83190553368835,-5.731035808975662,-6.948427925262464,1.2173921162868018,3.5064285714285717,-892692169.0
2022-02-22,147.24,147.51,146.88,147.36,62684996.0,AMZN,147.451,,,147.451,156.99468548473646,137.90731451526352,-0.012001340931947602,-0.20406179107702271,54.08234473133289,-5.296050089188526,-6.617952358047676,1.3219022688591497,3.5264285714285717,-955377165.0
2022-02-23,146.65,148.61,145.97,148.54,77810143.0,AMZN,146.97050000000002,,,146.97050000000002,155.1105749382294,138.83042506177063,0.008007600434310369,-0.19768823592956686,54.18890693896495,-4.80076441027623,-6.254514768493387,1.4537503582171567,3.622857142857145,-877567022.0
2022-02-24,147.35,147.56,147.05,147.13,71848375.0,AMZN,146.439,,,146.439,152.80835392906332,140.06964607093667,-0.009492392621516021,-0.20530409419898454,58.9348813730439,-4.470489141495676,-5.897709643093845,1.4272205015981685,3.3792857142857144,-949415397.0
2022-02-25,146.03,146.11,145.68,145.79,37382022.0,AMZN,146.1075,,,146.1075,151.82270916410445,140.39229083589552,-0.00910759192550803,-0.2125418602138922,50.796311818943835,-4.267675308217491,-5.571702776118574,1.3040274679010828,3.1092857142857144,-986797419.0
2022-02-28,146.28,146.6,146.07,146.55,70980744.0,AMZN,145.914,,,145.914,151.26487754730994,140.56312245269004,0.005212977570478117,-0.2084368585934968,54.129751357530736,-3.9995143242164204,-5.257265085738144,1.2577507615217236,3.0264285714285717,-915816675.0
2022-03-01,149.01,149.57,148.18,148.45,44402397.0,AMZN,146.04450000000003,,,146.04450000000003,151.51377677312485,140.5752232268752,0.012964858410098756,-0.19817435454250854,53.799654576856625,-3.5922712247943025,-4.924266313549376,1.3319950887550736,3.087142857142855,-871414278.0
2022-03-02,144.67,145.86,144.47,145.69,74885562.0,AMZN,146.1365,,,146.1365,151.51143706205409,140.76156293794594,-0.01859211855843712,-0.2130819920060496,37.83873099801717,-3.4524394947650876,-4.6299009497925185,1.177461455027431,2.839285714285712,-946299840.0
2022-03-03,143.27,143.34,142.71,143.02,68385044.0,AMZN,146.041,,,146.041,151.57180902048177,140.51019097951823,-0.018326583842405042,-0.2275035108566491,41.80357794815629,-3.5165321336907596,-4.407227186572166,0.8906950528814068,2.549999999999997,-1014684884.0
2022-03-04,140.7,141.35,140.61,140.98,119573465.0,AMZN,146.0875,,,146.0875,151.41824844157537,140.75675155842464,-0.014263739337155745,-0.23852219941665787,41.0100286532951,-3.689407766653119,-4.263663302588357,0.5742555359352384,2.60785714285714,-1134258349.0
2022-03-07,141.41,141.73,138.96,140.56,45108230.0,AMZN,145.8545,,,145.8545,151.72494506516736,139.98405493483264,-0.002979145978152853,-0.24079075294371843,41.7883211678832,-3.8163113791831336,-4.1741929179073125,0.35788153872417894,2.732142857142853,-1179366579.0
2022-03-08,136.07,136.57,135.77,136.22,114451429.0,AMZN,145.48250000000002,,,145.48250000000002,152.72179590935113,138.2432040906489,-0.030876494023904355,-0.2642324727233446,39.75694444444443,-4.218457384678942,-4.183045811261639,-0.03541157341730283,2.7664285714285666,-1293818008.0
2022-03-09,135.45,135.58,135.37,135.43,56686237.0,AMZN,144.9635,,,144.9635,153.47965746065833,136.4473425393417,-0.005799442078989858,-0.26849951388138715,30.47144499808354,-4.548475395996974,-4.256131728208706,-0.29234366778826804,2.5628571428571383,-1350504245.0
2022-03-10,138.84,138.84,138.82,138.83,55245534.0,AMZN,144.2525,,,144.2525,152.28678672365405,136.21821327634595,0.025105220409067375,-0.2501350329480394,39.259771705292316,-4.483976967303164,-4.301700776027597,-0.18227619127556682,2.646428571428566,-1295258711.0
2022-03-11,134.99,135.5,133.92,134.76,113155908.0,AMZN,143.615,154.5442,,143.615,152.5354613994421,134.6945386005579,-0.02931643016639074,-0.2721183968888411,25.077935573259396,-4.7070169224028575,-4.382764005302649,-0.32425291710020865,2.6985714285714244,-1408414619.0
2022-03-14,134.38,134.76,133.9,134.05,100747318.0,AMZN,143.0175,153.5224,,143.0175,152.82233634689854,133.2126636531015,-0.005268625704956786,-0.2759533326131577,26.05253688377111,-4.884760284120233,-4.483163261066165,-0.40159702305406775,2.597857142857137,-1509161937.0
2022-03-15,138.92,139.47,138.6,139.28,95600697.0,AMZN,142.7285,152.5832,,142.7285,152.62019832685277,132.83680167314722,0.039015292801193535,-0.24770443988333168,35.45854271356784,-4.551143142626785,-4.496759237378289,-0.054383905248495346,2.7964285714285637,-1413561240.0
2022-03-16,138.47,138.8,137.23,137.49,118568853.0,AMZN,142.497,151.6398,,142.497,152.6616116761195,132.33238832388054,-0.012851809304997075,-0.25737279896294707,35.04034761018002,-4.380689334988034,-4.4735452569002385,0.09285592191220449,2.836428571428566,-1532130093.0
2022-03-17,134.79,134.83,134.77,134.77,26992842.0,AMZN,141.9545,150.6578,,141.9545,152.5656569387572,131.3433430612428,-0.019783256964142848,-0.27206438370962527,33.601190476190496,-4.414200575897979,-4.461676320699787,0.04747574480180816,2.927142857142852,-1559122935.0
2022-03-18,135.39,135.62,135.35,135.6,63343806.0,AMZN,141.48250000000002,149.7946,,141.48250000000002,152.352427371083,130.61257262891704,0.006158640647028202,-0.26758128983471985,33.73923373923368,-4.323940715347106,-4.434129199629251,0.110188484282145,2.929999999999995,-1495779129.0
